日期,地點,時間,工作坊類型,工作坊名稱,工作坊內容略述,收費,招收人數
7/6,Rm 30,14:30-15:00,大型聚會,多元媒介燃禱會,邀請全堂弟兄姊妹參加,,
7/6,Rm 30,15:00-18:00,運動,匹克球,,,
7/6,Rm 33,15:00-18:00,美食,重症甜品,,,
7/6,Rm 34,,運動,舞蹈或伸展運動？,,,
7/6,3樓前走廊,15:00-18:00,腦力挑戰,Board games ,,,
7/6,Rm 44,16:30-18:00,,,,,
7/6,4樓前走廊,,運動,乒乓球,,,
7/6,Rm 55,16:00-18:00,DIY工作坊,滴膠手作,,,
7/6,Rm 56,15:15-17:30,美食,紅豆糕製作（當北海道紅豆與泮塘馬蹄粉相遇）,"15:15, 16:00, 16:45/每節10人",$10,30人
7/6,Rm 56,15:15-17:30,美食,夏日飲品製作,,,
14/6,Rm 35,15:00-18:00,DIY工作坊,剪紙,親子,免費,
14/6,Rm 36,15:00-18:00,DIY工作坊,扭扭花製作,3:00 4:00 5:00 每節24人,$10,24×3
14/6,Rm 55,15:00-18:00,腦力挑戰,TRPG桌上角色扮演遊戲,,,8-10人
21/6,3樓走廊,,美食,福音茶座(工作坊),,,
21/6,Rm 30,15:00-18:00,保健,PNF拉伸,是一種結合主動與被動操作，通過等長收縮後放鬆來提升肌肉柔韌性與關節活動度的技術。高效放鬆崩緊肌肉，減少疼痛及增加活動度。,,
21/6,Rm 33,15:00-18:00,DIY工作坊,再造紙藝術,用簡單嘅攪拌機，絞碎紙張，加上顏色或特別嘅紙碎製造紙,,
21/6,Rm 40,15:30,,,,,
21/6,Rm 53,16:00-18:00,,,,,
28/6,Rm 35,15:00-18:00,保健,PNF拉伸,是一種結合主動與被動操作，通過等長收縮後放鬆來提升肌肉柔韌性與關節活動度的技術。高效放鬆崩緊肌肉，減少疼痛及增加活動度。,,
28/6,Rm 41,15:30-18:00,DIY工作坊,編織手繩,,,
28/6,4樓前後廊,15:00-18:00,DIY工作坊,Art Jamming(自由畫室),自由、即興的藝術創作形式，適合零基礎新手，在輕鬆環境下隨心繪畫，,,
28/6,Rm 53,16:00-18:00,DIY工作坊,家居維修教學講座,,,
5/7,Rm 30,14:30-18:00,腦力挑戰,桌遊比賽,派對遊戲類比賽,,30
5/7,Rm 31,15:00-18:00,觸碰心靈,絨毛條公仔：我們內心的小孩,"做絨毛公仔, 玩咭, 聽歌畫畫並與參加者品茗",免費      ,  8人
5/7,Rm 33,15:00-18:00,DIY工作坊,和諧粉彩,,,
5/7,Rm 40,16:30-18:00,,,,,
5/7,Rm 53,16:00-18:00,,,,,
5/7,4樓前走廊,,DIY工作坊,滴膠工作坊,,,
12/7,Rm 30,15:00-18:00,大型聚會,夏日音樂會,,,
12/7,Rm 34,大堂無顯示,保健,PNF拉伸,是一種結合主動與被動操作，通過等長收縮後放鬆來提升肌肉柔韌性與關節活動度的技術。高效放鬆崩緊肌肉，減少疼痛及增加活動度。,,
12/7,Rm 35,15:00-18:00,,,,,
12/7,Rm 40,15:00-18:00,運動,匹克球體驗,,,
19/7,Rm 34,15:00-18:00,,,,,
19/7,Rm 33,15:00-18:00,DIY工作坊,只造紙,用簡單嘅攪拌機，絞碎紙張，加上顏色或特別嘅紙碎製造紙,,
19/7,Rm 37,15:00-18:00,DIY工作坊,面/手繪Hand/Face painting ,,,
19/7,Rm 40,15:30-18:00,,,,,
19/7,Rm 43,15:00-17:30,DIY工作坊,扭扭花製作：風信子小盆栽,3:00、4:00、5:00三節，每節10人,$10,30
19/7,40?,,保健,PNF拉伸,,,
19/7,Rm 46,,觸碰心靈,寫出我性格,期望透過西洋書法寫作經文作為靈修，讓弟兄姊妹/參與者感受到用筆寄意:),免費,8人
20/7,Rm 30,,大型聚會,世界杯總決賽,,,
26/7,Rm 32,15:00-18:00,觸碰心靈,絨毛條公仔：我們內心的小孩,"做絨毛公仔, 玩咭, 聽歌畫畫並與參加者品茗",免費,8人
26/7,Rm 35,15:00-18:00,保健,PNF拉伸,是一種結合主動與被動操作，通過等長收縮後放鬆來提升肌肉柔韌性與關節活動度的技術。高效放鬆崩緊肌肉，減少疼痛及增加活動度。,,
26/7,Rm 37,15:30-18:00,DIY工作坊,編織手繩,,,
26/7,Rm 56,15:00-18:00,DIY工作坊,Art Jamming(自由畫室),自由、即興的藝術創作形式，適合零基礎新手，在輕鬆環境下隨心繪畫，,,
26/7,Rm 41,15:30-18:00,觸碰心靈,繪畫心理投射工作坊：「你有壓力嗎？」,3:00、4:00、5:00三節，每節4-8人小組(彼此已經認識),沒有,12-24人
26/7,Rm 33,,觸碰心靈,寫出我性格,期望透過西洋書法寫作經文作為靈修，讓弟兄姊妹/參與者感受到用筆寄意:),免費,8人
2/8,Rm 30,14:30-18:00,腦力挑戰,桌遊比賽,指定桌遊,,24
2/8,Rm 31,15:00-18:00,攝影,幸福嘉年華：面繪,,,
2/8,Rm 33,15:00-18:00,攝影,幸福嘉年華,,,
2/8,Rm 38,14:30-17:30,DIY工作坊,幸福嘉年華：剪紙,,,
2/8,Rm 41,15:00-18:00,DIY工作坊,面/手繪Hand/Face painting ,,,
2/8,Rm 42,15:00-18:00,,,,,
2/8,Rm 53,16:00-18:00,,,,,
2/8,,,DIY工作坊,滴膠工作坊,,,
9/8,Rm 30,15:00-18:00,保健,PNF拉伸,是一種結合主動與被動操作，通過等長收縮後放鬆來提升肌肉柔韌性與關節活動度的技術。高效放鬆崩緊肌肉，減少疼痛及增加活動度。,,
9/8,Rm 34,大堂無顯示,,,,,
9/8,Rm 36,15:00-18:00,DIY工作坊,扭扭花製作,,$10,Walk-in
9/8,Rm 33,,觸碰心靈,寫出我性格,期望透過西洋書法寫作經文作為靈修，讓弟兄姊妹/參與者感受到用筆寄意:),免費,8人
16/8,Rm 34,15:00-18:00,,,,,
16/8,Rm 36,15:30-18:00,DIY工作坊,只造紙,用簡單嘅攪拌機，絞碎紙張，加上顏色或特別嘅紙碎製造紙,,
16/8,Rm 37,15:00-18:00,,,,,
16/8,Rm 40,14:30-18:00,DIY工作坊,手工？,,,
16/8,Rm 43,15:00-18:00,DIY工作坊,面/手繪Hand/Face painting ,,,
16/8,Rm 52,15:30-18:00,腦力挑戰,密室逃脫,,,walk in
16/8,Rm 53,11:30-18:00,,,,,
16/8,Rm 55,16:00-18:00,保健,PNF拉伸,是一種結合主動與被動操作，通過等長收縮後放鬆來提升肌肉柔韌性與關節活動度的技術。高效放鬆崩緊肌肉，減少疼痛及增加活動度。,,
16/8,Rm 47,15:30-18:00,觸碰心靈,寫出我性格,期望透過西洋書法寫作經文作為靈修，讓弟兄姊妹/參與者感受到用筆寄意:),免費,8人
23/8,Rm 33,15:00-18:00,,,,,
23/8,Rm 35,16:00-18:00,,,,,
23/8,Rm 36,16:00-18:00,保健,PNF拉伸,是一種結合主動與被動操作，通過等長收縮後放鬆來提升肌肉柔韌性與關節活動度的技術。高效放鬆崩緊肌肉，減少疼痛及增加活動度。,,
23/8,Rm 53,16:00-18:00,,,,,
,?,,腦力挑戰,TRPG桌上角色扮演遊戲,,,
30/8,Rm 30,15:00-18:00,保健,PNF拉伸,是一種結合主動與被動操作，通過等長收縮後放鬆來提升肌肉柔韌性與關節活動度的技術。高效放鬆崩緊肌肉，減少疼痛及增加活動度。,,
30/8,Rm 38,15:00-18:00,DIY工作坊,一筆一畫隨筆,,,
30/8,Rm 42,,觸碰心靈,繪畫心理投射工作坊：「你有壓力嗎？」,3:00、4:00、5:00三節，每節4-8人小組（彼此已經認識）,沒,12-24人
30/8,Rm 55,15:00-18:00,DIY工作坊,Art Jamming(自由畫室),自由、即興的藝術創作形式，適合零基礎新手，在輕鬆環境下隨心繪畫，,,
6/9,Rm 30,16:30-18:00,,,,,
6/9,Rm 31,15:00-18:00,文化,日本文化分享生命反思及主禱文,,,
6/9,4樓前走廊,,DIY工作坊,滴膠工作坊,,,
13/9,Rm 36,15:00-18:00,DIY工作坊,和諧粉彩,,,
13/9,Rm 40,15:00-18:00,運動,匹克球體驗班,,,
20/9,Rm 33,15:00-18:00,DIY工作坊,再造紙藝術,用簡單嘅攪拌機，絞碎紙張，加上顏色或特別嘅紙碎製造紙,,
20/9,Rm 44,16:30-18:00,,,,,
20/9,Rm 53,16:00-18:00,,,,,
27/9,Rm 35,15:00-18:00,DIY工作坊,一筆一畫隨筆,,,
27/9,Rm 33,,DIY工作坊,1 手語詩歌 2 沙中尋樂,,,
27/9,Rm 56,,觸碰心靈,繪畫心理投射工作坊：「你有壓力嗎？」,3:00、4:00、5:00三節，每節4-8人小組（彼此已經認識）,沒有,12-24人
27/9,Rm 55,15:00-18:00,DIY工作坊,Art Jamming(自由畫室),自由、即興的藝術創作形式，適合零基礎新手，在輕鬆環境下隨心繪畫，,,